Date,Pharmacy,Location,Drug,Brand,Price,Quantity,Supplier_Name,Batch_Number,Expiry_Date,Sales_Channel,Drug_Form
01/11/2024,Anderson Group,Urban,Artemisinin,MediPlus,596.64,25,Morton-Chase,uh-91766-il,30/07/2025,In-Store,Capsule
12/09/2024,"Dyer, Potter and Mack",Rural,Amoxicillin,MediPlus,3652.28,46,"Brown, Valdez and Lucas",JI-00141-ri,25/12/2026,Mobile Van,Tablet
01/06/2024,"Ferrell, Rice and Maddox",Rural,Metformin,MediPlus,2819.72,19,Hancock Inc,ah-63090-vN,05/11/2026,Market Stall,Capsule
10/08/2024,"Adams, Zuniga and Wong",Rural,Coartem,MediPlus,922.77,98,Gomez-Jenkins,NM-46333-KW,19/11/2025,Market Stall,Tablet
20/04/2025,Gray-Mayo,Rural,Azithromycin,FarmaTrust,2443.1,6,Hancock Inc,JL-85320-uW,13/10/2025,In-Store,Tablet
30/06/2024,Rodriguez LLC,Rural,Ibuprofen,BioCare,625.71,93,Williams PLC,kf-63890-KV,16/08/2026,Mobile Van,Syrup
07/08/2024,Wilkerson-Day,Rural,Chloroquine,FarmaTrust,916.51,35,Williams PLC,op-71136-DN,01/09/2025,In-Store,Injection
06/04/2025,Morales-Jones,Urban,Amlodipine,HealthFirst,3968.67,49,"Stanley, Tucker and Lee",pQ-23410-tB,20/07/2026,In-Store,Tablet
25/03/2025,Ryan PLC,Rural,Amoxicillin,HealthFirst,2168.88,79,Novak and Sons,gf-96733-AT,05/04/2026,Mobile Van,Injection
13/10/2024,Doyle Ltd,Urban,Paracetamol,Biokare,4049.57,16,Yu Inc,IW-26960-rn,11/03/2027,Mobile Van,Injection
11/01/2025,Frazier Inc,Urban,Coartem,MediPlus,1455.72,94,Lee-Davis,bF-76855-GN,21/02/2026,Market Stall,Syrup
16/03/2025,Rodriguez-Graham,Rural,Azithromycin,HealthFirst,2675.18,49,Henderson-Bernard,Te-79352-MS,08/10/2026,In-Store,Tablet
18/09/2024,Wilkerson-Day,Rural,Ibuprofen,MediPlus,879.2,52,Hancock Inc,wz-26335-rp,02/11/2026,Market Stall,Injection
15/08/2024,Anderson Group,Urban,Coartem,BioCare,2156.68,21,"Brooks, Lam and Hayes",RK-36970-pP,19/10/2026,In-Store,Capsule
20/05/2024,Hickman Ltd,Urban,Amlodipine,PharmaTrust,1226.6,40,Novak PLC,xy-70695-bF,30/03/2026,Mobile Van,Tablet
31/01/2025,"Snyder, Campos and Callahan",Urban,Ciprofloxacin,PharmaTrust,952.03,97,Powell LLC,wo-76164-rx,04/04/2027,Mobile Van,Tablet
03/08/2024,Dudley Group,Rural,Ibuprofen,BioCare,1831.67,88,Jones-Young,PH-72239-MH,15/01/2027,Mobile Van,Syrup
10/07/2024,Anderson Group,Urban,Artemisinin,BioCare,2173.72,36,Yu Inc,fT-06503-kf,17/08/2026,Mobile Van,Tablet
20/01/2025,"Harris, Collins and Carney",Urban,Artemisinin,HealthFirst,4186,36,"Brown, Valdez and Lucas",qC-80418-js,14/08/2025,Market Stall,Syrup
24/03/2025,"Snyder, Campos and Callahan",Urban,Amlodipine,MediPluz,4967,38,"Johnston, Sanchez and Kennedy",tk-64236-He,23/10/2025,In-Store,Syrup
29/03/2025,"Mcclure, Ward and Lee",Rural,Ibuprofen,BioCare,3018.18,91,"Robinson, Jones and Welch",sJ-19092-EB,22/03/2027,Mobile Van,Syrup
29/06/2024,Abbott-Munoz,Urban,Artemisinin,FarmaTrust,2725.81,93,Jones Inc,eX-30391-gr,20/01/2027,In-Store,Tablet
23/02/2025,Harrell LLC,Urban,Ibuprofen,HealthFirst,2564.39,18,Wright and Sons,Wx-28178-Ul,22/08/2025,Market Stall,Injection
18/11/2024,Williams and Sons,Urban,Ciprofloxacin,MediPlus,4789.81,97,Hancock Inc,Xr-23052-Gb,20/05/2026,Market Stall,Capsule
06/11/2024,Hickman Ltd,Rural,Ciprofloxacin,FarmaTrust,3938.78,93,Yu Inc,Ej-06220-ip,24/02/2027,Market Stall,Tablet
17/12/2024,"Rodriguez, Figueroa and Sanchez",Urban,Ibuprofen,MediPlus,3013.23,,Novak PLC,Dl-59473-Th,01/11/2026,Mobile Van,Tablet
30/07/2024,Rodriguez-Graham,Urban,Chloroquine,MediPlus,,49,"Brown, Valdez and Lucas",ia-29016-sD,10/06/2026,Mobile Van,Capsule
01/03/2025,James Group,Rural,Chloroquine,FarmaTrust,4600.03,80,House-Glover,HD-76886-PH,25/01/2026,In-Store,Capsule
24/02/2025,Morales-Jones,Rural,Paracetamol,MediPlus,1693.89,10,"Daniels, Adkins and Brown",Ak-99648-GF,02/08/2025,In-Store,Injection
03/03/2025,Blake and Sons,Rural,Ibuprofen,PharmaTrust,1846.16,4,Russell Group,th-03195-MA,17/02/2026,In-Store,Capsule
18/09/2024,Arnold Ltd,Urban,Paracetamol,HealthFirst,552.81,58,Lee-Davis,mW-45057-bn,30/03/2026,Mobile Van,Injection
20/02/2025,Baker and Sons,Urban,Artemisinin,MediPlus,3538,94,Gomez-Jenkins,zp-27924-jb,26/03/2027,In-Store,Capsule
22/07/2024,"Martin, Rose and Obrien",Urban,Amlodipine,BioCare,1340.71,51,"West, Henderson and Ramirez",TD-74767-xn,20/04/2026,Mobile Van,Tablet
14/06/2024,Frazier Inc,Urban,Artemisinin,PharmaTrust,3945.47,3,Walker LLC,sx-60321-dw,22/04/2026,In-Store,Tablet
13/04/2025,Frazier Inc,Urban,Amlodipine,MediPlus,4127.23,98,"Brooks, Lam and Hayes",wG-66194-JE,27/05/2025,Mobile Van,Syrup
22/04/2025,Allen-Allen,Rural,Artemisinin,HealthFirst,679.74,23,Novak PLC,tG-71553-ka,13/07/2025,In-Store,Injection
20/06/2024,"Watts, Robinson and Nguyen",Rural,Amoxicillin,HealthFirst,2293.95,14,Morton-Chase,nO-84008-Hx,14/05/2025,Market Stall,Capsule
16/10/2024,"Hoffman, Baker and Richards",Urban,Chloroquine,BioCare,1593.92,6,"Robinson, Jones and Welch",Nu-65975-sx,04/06/2025,In-Store,Injection
02/03/2025,Rodriguez-Graham,Urban,Coartem,HealthFirst,1844.52,31,Morton-Chase,BW-89177-Gc,25/09/2026,Market Stall,Syrup
21/02/2025,Baker and Sons,Urban,Ibuprofen,BioCare,3149.64,16,Walker LLC,yv-89812-QT,02/04/2026,In-Store,Injection
03/02/2025,"Ross, Robinson and Bright",Urban,Chloroquine,BioCare,4967.31,75,Henderson-Bernard,Ny-42231-rz,14/10/2025,In-Store,Injection
11/05/2024,"Adams, Zuniga and Wong",Urban,Amoxicillin,PharmaTrust,4961.09,75,"Daniels, Adkins and Brown",AK-04023-mA,06/01/2027,In-Store,Capsule
11/03/2025,Hickman Ltd,Rural,Chloroquine,PharmaTrust,4373.98,85,Gomez-Jenkins,na-26894-ek,22/02/2027,Market Stall,Capsule
09/05/2024,"Gardner, Robinson and Lawrence",Rural,Paracetamol,BioCare,2980.54,82,Russell Group,kR-47137-Fh,27/06/2025,In-Store,Syrup
09/01/2025,"Watts, Robinson and Nguyen",Urban,Metformin,Biokare,2933.51,25,Jones-Young,qK-75957-JJ,17/03/2027,In-Store,Tablet
10/04/2025,Dudley Group,Urban,Metformin,PharmaTrust,2140.22,72,Walker LLC,HR-55829-rZ,31/07/2026,Mobile Van,Tablet
21/02/2025,Rodriguez-Graham,Rural,Paracetamol,MediPlus,2394.47,54,Jones Inc,rv-33067-Gt,18/05/2026,In-Store,Capsule
31/01/2025,Dudley Group,Urban,Metformin,HealthFirst,2695.97,29,"Brown, Valdez and Lucas",gj-60944-Jo,10/02/2027,Market Stall,Injection
23/02/2025,George Group,Urban,Coartem,MediPluz,4212.66,37,"Woods, Calhoun and Schmidt",SI-33721-Gx,12/03/2026,In-Store,Injection
07/02/2025,Baker and Sons,Urban,Paracetamol,PharmaTrust,1838.43,71,"Daniels, Adkins and Brown",fp-66954-kN,04/05/2026,In-Store,Capsule
20/04/2025,"Baker, Mason and White",Rural,Coartem,PharmaTrust,3372.41,12,"Daniels, Adkins and Brown",Bj-15066-AE,19/05/2025,Market Stall,Capsule
01/09/2024,Smith-Bowen,Rural,Amlodipine,MediPlus,4632.61,28,"Brooks, Lam and Hayes",Fz-51437-Ln,06/03/2026,Market Stall,Capsule
09/10/2024,"Hoffman, Baker and Richards",Urban,Paracetamol,BioCare,2943.23,97,"Robinson, Jones and Welch",vk-34392-Mu,30/07/2026,Mobile Van,Syrup
18/09/2024,"Harris, Collins and Carney",Rural,Ciprofloxacin,HealthFirst,3020.53,99,Gomez-Jenkins,jI-11110-BF,23/03/2027,Market Stall,Injection
30/05/2024,Ryan PLC,Urban,Amoxicillin,HealthFirst,2496.4,29,"Brooks, Lam and Hayes",ci-20072-sx,05/10/2026,In-Store,Capsule
16/01/2025,Harrell LLC,Rural,Ciprofloxacin,MediPluz,760.56,98,Wright and Sons,tv-59102-gc,22/07/2026,Market Stall,Syrup
26/05/2024,"Guzman, Hoffman and Baldwin",Urban,Ibuprofen,BioCare,4153.09,4,Walker LLC,zF-09032-gr,30/07/2026,In-Store,Capsule
16/08/2024,Frazier Inc,Urban,Chloroquine,MediPlus,1606.57,78,Chapman and Sons,ie-98194-DM,17/02/2027,Market Stall,Injection
03/08/2024,Davis and Sons,Rural,Ciprofloxacin,HealthFirst,4384.84,57,Gray Group,oS-28179-sc,25/02/2026,Mobile Van,Syrup
21/03/2025,Davis and Sons,Rural,Ibuprofen,BioCare,280.73,64,Baxter Inc,Gt-52775-sP,26/10/2026,Mobile Van,Injection
07/03/2025,Wilkerson-Day,Urban,Amoxicillin,PharmaTrust,4450.09,93,Wright and Sons,np-66345-Dj,24/10/2026,Mobile Van,Syrup
24/06/2024,Harrell LLC,Urban,Amlodipine,MediPluz,3780.14,63,"Stanley, Tucker and Lee",jg-01091-Ci,19/08/2025,Market Stall,Capsule
30/01/2025,"Walter, Edwards and Rios",Urban,Paracetamol,MediPlus,3891.74,34,"Brooks, Lam and Hayes",pT-14559-EB,10/03/2026,Mobile Van,Injection
11/06/2024,"Guzman, Hoffman and Baldwin",Urban,Ibuprofen,HealthFirst,628.1,17,"Hensley, Powell and David",Pc-89437-xk,23/02/2026,Mobile Van,Injection
08/07/2024,Spence PLC,Urban,Ibuprofen,PharmaTrust,721.82,70,"Hensley, Powell and David",yl-51004-FD,19/09/2026,In-Store,Capsule
26/09/2024,"Rodriguez, Figueroa and Sanchez",Urban,Paracetamol,MediPlus,3094.05,1,Wright and Sons,Qu-57256-WK,01/03/2027,In-Store,Syrup
21/01/2025,Hickman Ltd,Rural,Ibuprofen,BioCare,835.31,64,Novak and Sons,fF-20246-vj,28/05/2025,Market Stall,Injection
03/04/2025,"Walter, Edwards and Rios",Urban,Ibuprofen,MediPlus,4478.72,70,Gomez-Jenkins,rm-23897-Ul,16/03/2026,Mobile Van,Injection
09/05/2024,"Baker, Mason and White",Urban,Paracetamol,BioCare,429.37,51,Gomez-Jenkins,va-05595-gE,16/12/2026,Market Stall,Tablet
11/03/2025,Blake and Sons,Rural,Metformin,MediPlus,1335.24,27,House-Glover,RQ-83325-VV,23/05/2026,Mobile Van,Tablet
09/08/2024,Wilkerson-Day,Rural,Coartem,Hea1thFirst,4544.21,95,"Daniels, Adkins and Brown",Nm-86899-BX,14/11/2026,Mobile Van,Syrup
01/03/2025,Dudley Group,Urban,Amoxicillin,MediPlus,4415.27,76,Novak and Sons,IW-07984-Dc,02/12/2025,In-Store,Tablet
01/09/2024,Ryan PLC,Urban,Metformin,PharmaTrust,1023.77,70,"Brown, Valdez and Lucas",AD-06917-MK,22/10/2025,Market Stall,Capsule
18/04/2025,Anderson Group,Rural,Ibuprofen,HealthFirst,4398.72,70,"Johnston, Sanchez and Kennedy",tP-59374-co,27/09/2026,In-Store,Syrup
11/04/2025,"Dyer, Potter and Mack",Rural,Ciprofloxacin,Hea1thFirst,2947.64,58,"Stanley, Tucker and Lee",Ho-94640-co,24/01/2027,In-Store,Capsule
16/10/2024,"Arroyo, Miller and Tucker",Rural,Ciprofloxacin,MediPlus,2377.15,90,Walker LLC,eZ-36060-Zr,15/06/2026,Mobile Van,Capsule
07/03/2025,Galloway-Wyatt,Rural,Coartem,HealthFirst,4328.49,2,Powell LLC,XM-86084-Qd,16/05/2026,In-Store,Capsule
06/12/2024,"Dyer, Potter and Mack",Urban,Artemisinin,HealthFirst,1066.16,81,Powell LLC,py-38841-JU,06/01/2026,Mobile Van,Syrup
02/07/2024,"Gardner, Robinson and Lawrence",Rural,Amlodipine,Biokare,2787.56,58,"Hensley, Powell and David",vP-83061-pE,12/05/2025,In-Store,Injection
02/06/2024,Wilkerson-Day,Urban,Artemisinin,HealthFirst,549.22,74,Jones Inc,Ak-24244-Bn,13/11/2026,Mobile Van,Capsule
27/06/2024,"Snyder, Campos and Callahan",Urban,Coartem,BioCare,1329.05,80,Hancock Inc,SJ-51448-Oe,24/06/2025,Market Stall,Injection
24/06/2024,"Dyer, Potter and Mack",Urban,Paracetamol,MediPluz,4284.19,5,Hancock Inc,lh-10314-WC,13/01/2026,Market Stall,Syrup
11/06/2024,Rodriguez LLC,Rural,Chloroquine,BioCare,2635.33,38,Gray Group,EQ-88781-Nr,27/12/2026,In-Store,Injection
27/05/2024,Harrell LLC,Rural,Chloroquine,MediPlus,3306.9,37,Powell LLC,Zm-51526-Iq,10/11/2026,Mobile Van,Capsule
02/05/2024,Hickman Ltd,Urban,Azithromycin,Hea1thFirst,1329.35,70,Wright and Sons,vk-91122-HS,15/06/2026,Mobile Van,Capsule
09/07/2024,Burton Ltd,Urban,Coartem,HealthFirst,325.85,79,Baxter Inc,YW-75056-Bg,13/01/2027,Mobile Van,Capsule
10/11/2024,"Harris, Collins and Carney",Urban,Chloroquine,FarmaTrust,2575.51,69,Morton-Chase,OE-63239-XL,27/11/2026,Mobile Van,Syrup
20/01/2025,"Romero, Gonzalez and Brooks",Rural,Coartem,HealthFirst,4217.82,17,"Brown, Valdez and Lucas",yu-13787-Px,27/09/2025,Market Stall,Syrup
09/04/2025,Carlson-Cruz,Urban,Coartem,MediPlus,2113.25,24,House-Glover,Kw-00730-bQ,21/04/2027,Market Stall,Syrup
16/09/2024,Morales-Jones,Urban,Metformin,BioCare,3826.72,50,Wright and Sons,fi-56057-gM,04/06/2026,Market Stall,Injection
29/11/2024,Allen-Allen,Rural,Chloroquine,MediPluz,1006.01,70,Jones-Young,JJ-19277-UW,15/01/2026,Market Stall,Injection
10/06/2024,Morales-Jones,Rural,Metformin,PharmaTrust,2411.29,51,"Washington, Ryan and Cummings",IB-90534-sc,21/02/2027,In-Store,Injection
05/06/2024,"Romero, Gonzalez and Brooks",Rural,Paracetamol,HealthFirst,3480.92,95,Russell Group,jr-04246-vA,22/06/2025,Mobile Van,Capsule
17/11/2024,Williams and Sons,Urban,Coartem,MediPlus,1832.89,22,Lee-Davis,Ab-51744-bs,05/01/2026,In-Store,Injection
05/07/2024,Dudley Group,Rural,Azithromycin,BioCare,2067.57,74,Jones-Young,gx-12899-hg,17/11/2025,Mobile Van,Syrup
17/02/2025,"Arroyo, Miller and Tucker",Urban,Amlodipine,BioCare,690.66,65,"Robinson, Jones and Welch",nL-55129-Zf,22/10/2025,Market Stall,Capsule
14/05/2024,Morales-Jones,Rural,Amoxicillin,PharmaTrust,2690.89,50,Yu Inc,ZT-44881-JK,02/03/2027,Market Stall,Injection
18/01/2025,Doyle Ltd,Rural,Azithromycin,BioCare,4159.34,29,"Brooks, Lam and Hayes",zW-84841-ct,09/04/2027,In-Store,Injection
31/03/2025,Ryan PLC,Urban,Coartem,MediPlus,4646.33,15,"Hensley, Powell and David",ie-61540-gL,29/04/2025,Mobile Van,Capsule
05/06/2024,Blair PLC,Urban,Ibuprofen,BioCare,2993.49,35,"Daniels, Adkins and Brown",Ig-70756-qk,28/07/2026,In-Store,Tablet
24/04/2025,Morales-Jones,Urban,Ciprofloxacin,BioCare,1609.52,14,"Brown, Valdez and Lucas",lP-83152-KS,28/02/2027,Mobile Van,Syrup
04/06/2024,Blake and Sons,Urban,Paracetamol,HealthFirst,4124.19,61,"Stanley, Tucker and Lee",VR-07322-Gp,08/03/2026,Market Stall,Tablet
27/04/2024,Galloway-Wyatt,Rural,Azithromycin,MediPlus,277.07,80,Lee-Davis,Jp-84937-dB,06/10/2025,In-Store,Tablet
19/12/2024,"Adams, Zuniga and Wong",Urban,Amoxicillin,HealthFirst,2391.84,79,Williams PLC,iz-63845-LA,03/04/2027,In-Store,Capsule
05/12/2024,Rodriguez-Graham,Urban,Chloroquine,HealthFirst,3837.27,1,Lee-Davis,TA-44391-qP,09/08/2026,Mobile Van,Syrup
04/11/2024,Galloway-Wyatt,Rural,Ciprofloxacin,HealthFirst,4688.84,72,"Daniels, Adkins and Brown",Vq-01693-Si,17/07/2026,Mobile Van,Capsule
05/07/2024,Davis and Sons,Rural,Chloroquine,PharmaTrust,2786.79,36,Gomez-Jenkins,op-91320-Vc,14/11/2026,In-Store,Syrup
23/05/2024,Carlson-Cruz,Rural,Coartem,BioCare,2798.48,44,"Stanley, Tucker and Lee",Ka-62341-Pn,04/11/2026,Market Stall,Capsule
07/06/2024,Morales-Jones,Rural,Chloroquine,HealthFirst,1661.8,79,"Hensley, Powell and David",Cj-06153-jU,11/09/2026,In-Store,Tablet
24/02/2025,"Arroyo, Miller and Tucker",Rural,Amlodipine,MediPluz,,6,Jones Inc,QH-15566-Rr,05/04/2026,Mobile Van,Injection
07/01/2025,Ryan PLC,Urban,Chloroquine,HealthFirst,549.19,31,Jones Inc,mQ-32365-Qp,11/05/2026,Market Stall,Tablet
31/10/2024,Gray-Mayo,Rural,Artemisinin,BioCare,1831.66,5,Williams PLC,BD-46040-kd,23/12/2026,In-Store,Capsule
05/04/2025,Rodriguez-Graham,Urban,Artemisinin,BioCare,4285.39,68,Hancock Inc,Ah-07843-sj,02/12/2025,Mobile Van,Capsule
11/08/2024,"Baker, Mason and White",Rural,Paracetamol,HealthFirst,2230.75,82,"Daniels, Adkins and Brown",eL-26078-Dw,17/12/2025,Mobile Van,Injection
31/12/2024,George Group,Rural,Paracetamol,HealthFirst,1958.21,66,"Stanley, Tucker and Lee",yr-37347-kE,14/10/2025,Market Stall,Syrup
12/10/2024,Morales-Jones,Rural,Ibuprofen,MediPlus,2723.97,23,Henderson-Bernard,oJ-20376-GP,21/04/2027,Market Stall,Tablet
20/06/2024,"Martin, Rose and Obrien",Urban,Ibuprofen,HealthFirst,1160.87,19,Jones Inc,Sg-14584-rQ,01/06/2026,Market Stall,Tablet
01/03/2025,Ryan PLC,Rural,Chloroquine,FarmaTrust,3743.82,12,Williams PLC,gp-46019-sq,14/01/2027,In-Store,Capsule
28/07/2024,James Group,Rural,Paracetamol,PharmaTrust,1856.03,69,Jones-Young,OF-89982-Ha,19/08/2025,Mobile Van,Capsule
02/05/2024,Frazier Inc,Urban,Azithromycin,HealthFirst,4519.29,62,Baxter Inc,aE-58695-ml,19/07/2025,Mobile Van,Injection
03/02/2025,"Martin, Rose and Obrien",Rural,Coartem,PharmaTrust,851.2,20,Yu Inc,mO-46449-zQ,08/02/2027,Market Stall,Tablet
14/12/2024,Gray-Mayo,Urban,Chloroquine,FarmaTrust,2035.58,85,Novak and Sons,EN-99516-mp,03/01/2026,In-Store,Tablet
12/05/2024,Wilkerson-Day,Urban,Coartem,PharmaTrust,4809.68,83,Morton-Chase,vF-55738-oB,06/07/2026,In-Store,Tablet
01/05/2024,"Snyder, Campos and Callahan",Urban,Ibuprofen,HealthFirst,4643.82,84,Russell Group,Ac-11923-nD,12/03/2026,In-Store,Tablet
18/11/2024,Gray-Mayo,Urban,Paracetamol,HealthFirst,3756.77,22,"Robinson, Jones and Welch",oV-11872-nn,08/02/2026,Market Stall,Capsule
01/06/2024,Gray-Mayo,Urban,Metformin,HealthFirst,1334.98,22,"Brown, Valdez and Lucas",hr-04096-PL,18/03/2027,Market Stall,Injection
16/10/2024,"Arroyo, Miller and Tucker",Urban,Chloroquine,HealthFirst,1736.98,40,Lee-Davis,hf-31539-Zq,31/12/2026,Mobile Van,Tablet
13/12/2024,Carlson-Cruz,Rural,Azithromycin,PharmaTrust,1591.25,3,Russell Group,Ik-83074-QW,18/10/2026,Mobile Van,Injection
01/02/2025,James Group,Rural,Chloroquine,MediPlus,1066.21,58,Hancock Inc,gf-07365-GL,21/10/2025,Market Stall,Capsule
19/04/2025,"Rodriguez, Figueroa and Sanchez",Urban,Chloroquine,MediPlus,978.03,43,"Johnston, Sanchez and Kennedy",wW-94065-CJ,18/10/2026,Market Stall,Capsule
27/06/2024,Hickman Ltd,Rural,Artemisinin,BioCare,863.72,72,"Hensley, Powell and David",ml-01904-ko,19/11/2026,Market Stall,Syrup
12/05/2024,Garcia-James,Urban,Amoxicillin,MediPlus,846.64,47,Wright and Sons,sD-23332-dQ,10/04/2026,Market Stall,Tablet
21/07/2024,Rodriguez-Graham,Urban,Paracetamol,MediPluz,1473.5,71,Morton-Chase,xO-92013-WW,14/12/2025,Market Stall,Capsule
15/03/2025,Frazier Inc,Rural,Amlodipine,BioCare,3403.27,46,Jones-Young,ya-62127-kx,23/05/2025,In-Store,Capsule
18/11/2024,Davis and Sons,Urban,Ibuprofen,Biokare,1334.18,50,Gray Group,ne-26112-jA,19/07/2025,In-Store,Injection
10/10/2024,"Henderson, Ramirez and Lewis",Rural,Artemisinin,HealthFirst,4779.65,94,Russell Group,RH-32488-LL,07/01/2026,In-Store,Tablet
04/04/2025,"Harris, Collins and Carney",Urban,Chloroquine,BioCare,3387.24,12,Gomez-Jenkins,nC-72989-Bl,13/08/2026,In-Store,Capsule
15/03/2025,"Flowers, Martin and Kelly",Urban,Amoxicillin,HealthFirst,4575.94,74,"West, Henderson and Ramirez",nU-74549-ZX,04/02/2027,Mobile Van,Tablet
02/05/2024,"Mcclure, Ward and Lee",Rural,Artemisinin,MediPlus,896.88,7,Gray Group,Df-36468-Lh,04/01/2027,In-Store,Syrup
19/01/2025,"Henderson, Ramirez and Lewis",Urban,Paracetamol,FarmaTrust,2168.54,97,House-Glover,JE-20381-zP,21/07/2026,In-Store,Tablet
26/01/2025,"Henderson, Ramirez and Lewis",Urban,Artemisinin,FarmaTrust,701.63,24,Walker LLC,oZ-20828-ip,01/04/2027,In-Store,Tablet
14/05/2024,"Ross, Robinson and Bright",Urban,Amlodipine,PharmaTrust,4675.53,26,"Hensley, Powell and David",IJ-89813-fv,07/06/2026,Market Stall,Syrup
19/11/2024,"Mcclain, Miller and Henderson",Rural,Chloroquine,PharmaTrust,1819.1,69,"Brooks, Lam and Hayes",il-14458-cB,11/05/2026,Market Stall,Syrup
21/03/2025,"Snyder, Campos and Callahan",Rural,Coartem,Biokare,1045.46,12,Gomez-Jenkins,jN-32318-Ce,19/03/2026,In-Store,Capsule
29/01/2025,Ryan PLC,Urban,Amlodipine,BioCare,4913.52,20,Hancock Inc,Rr-81572-vb,21/05/2025,Mobile Van,Capsule
16/02/2025,Garcia-James,Urban,Chloroquine,BioCare,4973.92,45,"Stanley, Tucker and Lee",uk-00001-WV,13/01/2027,Mobile Van,Tablet
28/12/2024,"Martin, Rose and Obrien",Urban,Ibuprofen,BioCare,815.38,89,Russell Group,Zg-91137-CY,21/03/2027,Mobile Van,Tablet
20/11/2024,"Harris, Collins and Carney",Urban,Ibuprofen,MediPlus,881.02,25,"West, Henderson and Ramirez",wu-50902-yR,24/07/2025,Mobile Van,Injection
27/02/2025,"Dyer, Potter and Mack",Rural,Ciprofloxacin,HealthFirst,1217.66,4,Lee-Davis,fI-84442-jM,26/09/2026,In-Store,Syrup
04/12/2024,Doyle Ltd,Urban,Azithromycin,PharmaTrust,790.94,79,Jones-Young,Xe-87478-jl,26/01/2027,Mobile Van,Syrup
15/02/2025,Rodriguez-Graham,Rural,Metformin,MediPluz,2326.95,93,Chapman and Sons,yE-48905-cG,29/03/2026,Mobile Van,Capsule
23/10/2024,"Baker, Mason and White",Urban,Ciprofloxacin,HealthFirst,4328.05,68,Gray Group,Qq-00900-py,19/01/2026,In-Store,Injection
28/12/2024,Gray-Mayo,Rural,Paracetamol,MediPlus,1264.82,91,Yu Inc,Hj-51584-zy,07/07/2026,Mobile Van,Tablet
11/06/2024,Galloway-Wyatt,Urban,Artemisinin,Biokare,4558.31,52,Morton-Chase,ou-36248-xQ,03/06/2025,Market Stall,Capsule
14/09/2024,Morales-Jones,Rural,Metformin,BioCare,2325.5,87,Novak PLC,JT-42960-cO,25/04/2026,Mobile Van,Injection
15/05/2024,"Adams, Zuniga and Wong",Rural,Paracetamol,BioCare,2501.94,14,Jones Inc,NJ-63369-DN,26/01/2026,Mobile Van,Capsule
24/02/2025,"Hoffman, Baker and Richards",Urban,Artemisinin,MediPluz,3891.95,66,"Robinson, Jones and Welch",ed-09822-rZ,01/06/2025,In-Store,Syrup
20/04/2025,Doyle Ltd,Rural,Coartem,PharmaTrust,2113.46,98,Chapman and Sons,JH-16481-Va,15/11/2025,Mobile Van,Syrup
23/12/2024,"Hoffman, Baker and Richards",Urban,Coartem,MediPluz,4099.21,86,Powell LLC,pH-42877-my,04/11/2026,Mobile Van,Tablet
15/02/2025,Abbott-Munoz,Urban,Artemisinin,MediPlus,2424.59,26,Williams PLC,pj-38164-Re,13/08/2025,In-Store,Capsule
20/01/2025,"Ross, Robinson and Bright",Urban,Ibuprofen,Hea1thFirst,1794.27,7,"Woods, Calhoun and Schmidt",KP-69428-QQ,14/11/2026,Mobile Van,Injection
22/08/2024,Frazier Inc,Rural,Azithromycin,PharmaTrust,1039.91,91,"Washington, Ryan and Cummings",AW-64203-Ti,06/02/2026,In-Store,Tablet
30/01/2025,Smith-Bowen,Rural,Paracetamol,BioCare,2344.74,91,"West, Henderson and Ramirez",Xq-86314-fD,05/03/2027,Market Stall,Injection
10/05/2024,Carlson-Cruz,Urban,Ibuprofen,MediPluz,1802.06,86,"Daniels, Adkins and Brown",Wx-64625-Ws,27/02/2027,In-Store,Capsule
30/03/2025,Blair PLC,Rural,Metformin,PharmaTrust,2296.68,20,Chapman and Sons,vI-02635-Rl,10/12/2025,Mobile Van,Tablet
08/07/2024,Frazier Inc,Urban,Paracetamol,PharmaTrust,291.11,8,Lee-Davis,AY-01764-rs,29/05/2026,Mobile Van,Capsule
04/12/2024,"Hoffman, Baker and Richards",Urban,Metformin,MediPlus,3824.46,15,Walker LLC,xp-88031-JS,20/05/2026,Mobile Van,Capsule
12/11/2024,Rodriguez LLC,Rural,Artemisinin,MediPlus,294.31,84,Lee-Davis,NS-24527-dR,12/10/2026,Market Stall,Syrup
04/09/2024,"Dyer, Potter and Mack",Urban,Chloroquine,BioCare,2956.01,41,"Johnston, Sanchez and Kennedy",nn-04043-nW,25/01/2027,Market Stall,Tablet
09/09/2024,Gray-Mayo,Urban,Amoxicillin,MediPlus,4077.59,39,Gray Group,Th-38495-zU,15/10/2025,Market Stall,Capsule
04/03/2025,Wilkerson-Day,Rural,Ibuprofen,HealthFirst,2423.59,57,House-Glover,DH-21119-DU,09/03/2027,In-Store,Capsule
24/02/2025,"Walter, Edwards and Rios",Rural,Artemisinin,PharmaTrust,4786.17,20,"Washington, Ryan and Cummings",pL-18093-fO,05/10/2026,Mobile Van,Injection
10/07/2024,Davis and Sons,Rural,Azithromycin,HealthFirst,1319.83,23,Novak PLC,oc-73265-Ac,08/11/2026,Mobile Van,Capsule
24/05/2024,Dudley Group,Urban,Coartem,BioCare,2997.75,15,Hancock Inc,yg-19875-DG,21/02/2027,Mobile Van,Tablet
30/09/2024,"Guzman, Hoffman and Baldwin",Rural,Paracetamol,HealthFirst,326.27,60,Walker LLC,nb-88002-Zb,25/07/2026,Market Stall,Capsule
